model,case,size,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
granite_lora,ft06,6x6,55,58,5.4545,0,0,0,0,0,0,0,True
granite_lora,ft10,10x10,930,1777,91.0753,0,47,21,11,0,6,85,False
granite_lora,ft20,20x5,1165,9937,752.9614,4,245,12,0,0,0,261,False
granite_lora,la01,10x5,666,759,13.9640,0,0,0,0,0,0,0,True
granite_lora,la02,10x5,655,691,5.4962,0,0,0,0,0,0,0,True
granite_lora,la03,10x5,597,652,9.2127,0,0,0,0,0,0,0,True
granite_lora,la04,10x5,590,605,2.5424,0,0,0,0,0,0,0,True
granite_lora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
granite_lora,la06,15x5,926,1167,26.0259,8,3,3,0,0,0,14,False
granite_lora,la07,15x5,890,1192,33.9326,2,5,2,0,0,0,9,False
granite_lora,la08,15x5,863,1079,25.0290,3,6,1,0,0,0,10,False
granite_lora,la09,15x5,951,1123,18.0862,2,6,0,0,0,0,8,False
granite_lora,la10,15x5,958,1966,105.2192,2,25,5,0,0,0,32,False
granite_lora,la16,10x10,945,6765,615.8730,0,250,37,116,11,23,437,False
granite_lora,la17,10x10,784,5466,597.1939,0,199,10,2,1,0,212,False
granite_lora,la18,10x10,848,8154,861.5566,0,244,9,31,7,1,292,False
granite_lora,la19,10x10,842,3269,288.2423,1,106,13,2,0,0,122,False
granite_lora,la20,10x10,902,2628,191.3525,0,71,8,1,0,0,80,False
granite_rslora,ft06,6x6,55,82,49.0909,3,1,0,0,0,1,5,False
granite_rslora,ft10,10x10,930,13992,1404.5161,1,47,39,8,46,2,143,False
granite_rslora,ft20,20x5,1165,6693,474.5064,1,30,18,1,16,0,66,False
granite_rslora,la01,10x5,666,1194,79.2793,0,4,0,1,0,1,6,False
granite_rslora,la02,10x5,655,1173,79.0840,0,5,0,2,0,0,7,False
granite_rslora,la03,10x5,597,1334,123.4506,0,20,1,1,2,0,24,False
granite_rslora,la04,10x5,590,1489,152.3729,0,11,0,2,4,0,17,False
granite_rslora,la05,10x5,593,778,31.1973,4,0,0,0,0,1,5,False
granite_rslora,la06,15x5,926,1374,48.3801,8,3,5,4,3,0,23,False
granite_rslora,la07,15x5,890,2480,178.6517,3,10,6,0,6,3,28,False
granite_rslora,la08,15x5,863,8992,941.9467,1,54,12,6,32,1,106,False
granite_rslora,la09,15x5,951,2354,147.5289,5,30,2,1,6,0,44,False
granite_rslora,la10,15x5,958,1754,83.0898,5,9,8,1,3,0,26,False
granite_rslora,la16,10x10,945,6822,621.9048,0,104,39,26,31,6,206,False
granite_rslora,la17,10x10,784,10120,1190.8163,0,214,46,109,111,13,493,False
granite_rslora,la18,10x10,848,5087,499.8821,0,134,47,62,22,11,276,False
granite_rslora,la19,10x10,842,1369,62.5891,16,0,24,1,2,2,45,False
granite_rslora,la20,10x10,902,7732,757.2062,0,81,48,24,28,13,194,False
qwen2_lora,ft06,6x6,55,119,116.3636,2,12,14,2,7,6,43,False
